rank,frame_id,label,score
0,20251112_191827_Cam1_00015,1,0.22915834
1,20251112_191827_Cam1_00028,1,0.21007167
2,20251112_191827_Cam1_00095,1,0.19463421
3,20251210_185619_Cam1_00044,1,0.19350454
4,20250417_123456_Cam1_00147,1,0.19087872
5,20250417_123456_Cam1_00148,1,0.19069685
6,20250417_123456_Cam1_00162,1,0.19002032
7,20251210_185619_Cam1_00017,1,0.18997273
8,20251210_185619_Cam1_00048,0,0.18986610
9,20251210_185619_Cam1_00040,1,0.18928227
10,20251210_185619_Cam1_00045,0,0.18920606
11,20251210_185619_Cam1_00036,1,0.18893540
12,20251210_185619_Cam1_00015,0,0.18880196
13,20251210_185619_Cam1_00021,0,0.18874507
14,20251210_185619_Cam1_00038,0,0.18776374
15,20251210_185619_Cam1_00025,0,0.18759467
16,20251210_185619_Cam1_00010,0,0.18751815
17,20251210_185619_Cam1_00013,0,0.18700770
18,20251210_185619_Cam1_00007,1,0.18611068
19,20251210_185619_Cam1_00020,0,0.18546744
20,20251210_185619_Cam1_00018,0,0.18516384
