rank,frame_id,label,score
0,20251112_191827_Cam5_00028,1,1.02644265
1,20251112_191827_Cam5_00095,1,0.94594550
2,20251112_191827_Cam5_00018,1,0.88107586
3,20251112_191827_Cam5_00015,1,0.87372524
4,20251112_191827_Cam5_00033,0,0.83803701
5,20251112_191827_Cam5_00006,0,0.82316625
6,20251112_191827_Cam5_00007,1,0.78944969
7,20251112_191827_Cam5_00067,1,0.77575248
8,20251112_191827_Cam5_00012,0,0.76787782
9,20251112_191827_Cam5_00046,0,0.76687431
10,20251112_191827_Cam5_00036,0,0.76467037
11,20251112_191827_Cam5_00040,0,0.75953394
12,20251112_191827_Cam5_00123,1,0.75775588
13,20251112_191827_Cam5_00022,0,0.75337315
