rank,frame_id,label,score
0,20251112_191827_Cam5_00033,0,0.92109054
1,20251112_191827_Cam5_00095,1,0.91931605
2,20251112_191827_Cam5_00007,1,0.91916418
3,20251112_191827_Cam5_00040,0,0.91624177
4,20251112_191827_Cam5_00018,1,0.91531146
5,20251112_191827_Cam5_00046,0,0.90684474
6,20251112_191827_Cam5_00123,1,0.89630079
7,20251112_191827_Cam5_00067,1,0.87994015
8,20251112_191827_Cam5_00028,1,0.87912422
9,20251112_191827_Cam5_00036,0,0.87003225
10,20251112_191827_Cam5_00006,0,0.85908014
11,20251112_191827_Cam5_00015,1,0.85726494
12,20251112_191827_Cam5_00022,0,0.82716423
13,20251112_191827_Cam5_00012,0,0.81676686
