module_ablation,frame_id,label,fusion_auroc_total,rgb_auroc,depth_auroc,fusion_auroc,rgb_isolated_auroc,depth_isolated_auroc,rgb_rank,rgb_score,depth_rank,depth_score,fusion_rank,fusion_score,rgb_isolated_rank,rgb_isolated_score,depth_isolated_rank,depth_isolated_score
no_cf,20250417_123456_Cam4_00079,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,9,0.00549520,17,0.00312868,15,0.00584621,10,0.00555536,17,0.00234065
no_cf,20250417_123456_Cam4_00134,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,15,0.00412744,4,0.01296322,4,0.01414999,15,0.00440780,4,0.01342622
no_cf,20250417_123456_Cam4_00152,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,14,0.00459337,2,0.01701966,2,0.01895221,14,0.00486077,2,0.01778718
no_cf,20251112_191827_Cam4_00034,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,6,0.00644314,11,0.00433489,12,0.00645345,6,0.00668855,13,0.00404344
no_cf,20251112_191827_Cam4_00063,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,12,0.00489796,14,0.00408392,16,0.00554065,13,0.00498230,16,0.00283819
no_cf,20251112_191827_Cam4_00066,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,8,0.00606011,8,0.00439717,13,0.00628315,5,0.00672714,8,0.00438865
no_cf,20251210_185619_Cam4_00034,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,11,0.00530684,12,0.00431806,11,0.00656928,11,0.00525362,9,0.00433732
no_cf,20251210_185619_Cam4_00046,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,17,0.00377693,10,0.00435107,17,0.00505705,17,0.00398427,11,0.00431030
no_cf,20250417_123456_Cam4_00140,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,4,0.00772900,9,0.00438781,9,0.00833921,3,0.00822190,10,0.00432128
no_cf,20250417_123456_Cam4_00162,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,7,0.00606087,16,0.00367457,14,0.00611192,8,0.00609443,12,0.00422623
no_cf,20251112_191827_Cam4_00011,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,13,0.00462613,7,0.00595299,8,0.00836070,12,0.00500538,7,0.00597831
no_cf,20251112_191827_Cam4_00015,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,0,0.01362059,1,0.03632302,1,0.04319095,0,0.01433850,1,0.03735947
no_cf,20251112_191827_Cam4_00028,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,1,0.00950471,3,0.01656589,3,0.01834592,1,0.01014558,3,0.01532882
no_cf,20251112_191827_Cam4_00054,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,3,0.00842316,15,0.00396957,6,0.01024284,4,0.00820342,14,0.00368449
no_cf,20251112_191827_Cam4_00088,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,5,0.00660775,13,0.00430842,10,0.00670028,7,0.00665390,15,0.00302694
no_cf,20251112_191827_Cam4_00095,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,2,0.00948483,0,0.04666752,0,0.04876355,2,0.01011845,0,0.04897339
no_cf,20251210_185619_Cam4_00022,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,16,0.00392677,6,0.00800832,7,0.00918076,16,0.00405326,6,0.00875746
no_cf,20251210_185619_Cam4_00024,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,10,0.00540812,5,0.01104756,5,0.01217521,9,0.00596924,5,0.01146893
