rank,frame_id,label,score
0,20251210_185619_Cam1_00017,1,203.77392578
1,20251210_185619_Cam1_00040,1,169.71058655
2,20250417_123456_Cam1_00162,1,159.45880127
3,20251112_191827_Cam1_00028,1,157.36224365
4,20251112_191827_Cam1_00095,1,154.32150269
5,20251112_191827_Cam1_00015,1,145.15299988
6,20251210_185619_Cam1_00020,0,127.85658264
7,20251210_185619_Cam1_00045,0,127.23138428
8,20251210_185619_Cam1_00044,1,122.08397675
9,20251210_185619_Cam1_00038,0,120.25048065
10,20251210_185619_Cam1_00025,0,114.10256195
11,20250417_123456_Cam1_00148,1,108.02210236
12,20250417_123456_Cam1_00147,1,108.00839233
13,20251210_185619_Cam1_00018,0,107.09204865
14,20251210_185619_Cam1_00048,0,103.91323090
15,20251210_185619_Cam1_00013,0,102.51776123
16,20251210_185619_Cam1_00036,1,102.40665436
17,20251210_185619_Cam1_00021,0,101.56793213
18,20251210_185619_Cam1_00007,1,93.65635681
19,20251210_185619_Cam1_00015,0,90.85653687
20,20251210_185619_Cam1_00010,0,79.93382263
