epoch,loss,stage1_gain,stage1_bias,stage2_init_gain,stage2_init_bias,stage2_current_gain,stage2_current_bias
1,0.54051313,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16714086,-0.09083391
10,0.47318863,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16703750,-0.08590768
20,0.44642390,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16569263,-0.08034807
30,0.43145886,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16426259,-0.07480714
40,0.42823792,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16532557,-0.06925501
50,0.42839066,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16424249,-0.06387058
60,0.42513459,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16450053,-0.05839804
70,0.42097469,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16510293,-0.05309012
80,0.41243263,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16490987,-0.04802020
90,0.41122355,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16465686,-0.04311941
100,0.41720407,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16469872,-0.03821803
