rank,frame_id,label,score
0,20251112_191827_Cam5_00006,0,1.00000000
1,20251112_191827_Cam5_00007,1,1.00000000
2,20251112_191827_Cam5_00012,0,1.00000000
3,20251112_191827_Cam5_00015,1,1.00000000
4,20251112_191827_Cam5_00018,1,1.00000000
5,20251112_191827_Cam5_00022,0,1.00000000
6,20251112_191827_Cam5_00028,1,1.00000000
7,20251112_191827_Cam5_00033,0,1.00000000
8,20251112_191827_Cam5_00036,0,1.00000000
9,20251112_191827_Cam5_00040,0,1.00000000
10,20251112_191827_Cam5_00046,0,1.00000000
11,20251112_191827_Cam5_00067,1,1.00000000
12,20251112_191827_Cam5_00095,1,1.00000000
13,20251112_191827_Cam5_00123,1,1.00000000
