rank,frame_id,label,score
0,20251112_191827_Cam5_00018,1,1.72656250
1,20251112_191827_Cam5_00028,1,1.69531250
2,20251112_191827_Cam5_00015,1,1.68750000
3,20251112_191827_Cam5_00033,0,1.67968750
4,20251112_191827_Cam5_00012,0,1.66406250
5,20251112_191827_Cam5_00046,0,1.66406250
6,20251112_191827_Cam5_00022,0,1.65625000
7,20251112_191827_Cam5_00067,1,1.65625000
8,20251112_191827_Cam5_00036,0,1.65234375
9,20251112_191827_Cam5_00040,0,1.65234375
10,20251112_191827_Cam5_00007,1,1.64843750
11,20251112_191827_Cam5_00006,0,1.64062500
12,20251112_191827_Cam5_00095,1,1.63671875
13,20251112_191827_Cam5_00123,1,1.63671875
