rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,0.73437500
1,20251112_191827_Cam4_00095,1,0.71875000
2,20251210_185619_Cam4_00024,1,0.60156250
3,20251112_191827_Cam4_00066,0,0.59765625
4,20251112_191827_Cam4_00028,1,0.58203125
5,20251112_191827_Cam4_00088,1,0.58203125
6,20250417_123456_Cam4_00140,1,0.57421875
7,20251210_185619_Cam4_00034,0,0.57421875
8,20251210_185619_Cam4_00022,1,0.57031250
9,20251112_191827_Cam4_00011,1,0.57031250
10,20250417_123456_Cam4_00079,0,0.56250000
11,20250417_123456_Cam4_00134,0,0.56250000
12,20251112_191827_Cam4_00054,1,0.56250000
13,20251112_191827_Cam4_00063,0,0.56250000
14,20251210_185619_Cam4_00046,0,0.55859375
15,20250417_123456_Cam4_00152,0,0.55859375
16,20251112_191827_Cam4_00034,0,0.55468750
17,20250417_123456_Cam4_00162,1,0.55078125
