rank,frame_id,label,score
0,20251112_191827_Cam5_00028,1,355.19451904
1,20251112_191827_Cam5_00012,0,354.04318237
2,20251112_191827_Cam5_00018,1,350.33868408
3,20251112_191827_Cam5_00095,1,337.98651123
4,20251112_191827_Cam5_00033,0,320.23413086
5,20251112_191827_Cam5_00015,1,319.50552368
6,20251112_191827_Cam5_00006,0,266.22674561
7,20251112_191827_Cam5_00022,0,262.45852661
8,20251112_191827_Cam5_00123,1,249.83346558
9,20251112_191827_Cam5_00007,1,242.29222107
10,20251112_191827_Cam5_00046,0,228.72647095
11,20251112_191827_Cam5_00067,1,228.02137756
12,20251112_191827_Cam5_00036,0,227.59710693
13,20251112_191827_Cam5_00040,0,226.52565002
