rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,0.07811879
1,20251112_191827_Cam4_00028,1,0.04108176
2,20251112_191827_Cam4_00095,1,0.03518579
3,20251210_185619_Cam4_00034,0,0.03258324
4,20250417_123456_Cam4_00152,0,0.02531464
5,20250417_123456_Cam4_00134,0,0.02095052
6,20251210_185619_Cam4_00022,1,0.01968750
7,20251112_191827_Cam4_00088,1,0.01936268
8,20251112_191827_Cam4_00011,1,0.01829601
9,20250417_123456_Cam4_00162,1,0.01814386
10,20251210_185619_Cam4_00024,1,0.01780172
11,20251210_185619_Cam4_00046,0,0.01750099
12,20251112_191827_Cam4_00066,0,0.01692771
13,20251112_191827_Cam4_00034,0,0.01658445
14,20251112_191827_Cam4_00063,0,0.01651045
15,20251112_191827_Cam4_00054,1,0.01613686
16,20250417_123456_Cam4_00079,0,0.01465762
17,20250417_123456_Cam4_00140,1,0.01421648
