rank,frame_id,label,score
0,20251112_191827_Cam5_00018,1,0.66462731
1,20251112_191827_Cam5_00028,1,0.55109429
2,20251112_191827_Cam5_00015,1,0.48744518
3,20251112_191827_Cam5_00095,1,0.43900532
4,20251112_191827_Cam5_00007,1,0.39059144
5,20251112_191827_Cam5_00033,0,0.35298747
6,20251112_191827_Cam5_00067,1,0.34912917
7,20251112_191827_Cam5_00036,0,0.34545425
8,20251112_191827_Cam5_00046,0,0.33712575
9,20251112_191827_Cam5_00123,1,0.33568984
10,20251112_191827_Cam5_00022,0,0.33018744
11,20251112_191827_Cam5_00040,0,0.33018586
12,20251112_191827_Cam5_00012,0,0.32231778
13,20251112_191827_Cam5_00006,0,0.31644076
