rank,frame_id,label,score
0,20251112_191827_Cam1_00028,1,0.20739852
1,20251112_191827_Cam1_00015,1,0.19775388
2,20251112_191827_Cam1_00095,1,0.17006654
3,20251210_185619_Cam1_00040,1,0.07282630
4,20250417_123456_Cam1_00162,1,0.06898457
5,20251210_185619_Cam1_00048,0,0.06719314
6,20251210_185619_Cam1_00017,1,0.06660883
7,20251210_185619_Cam1_00036,1,0.06525952
8,20251210_185619_Cam1_00021,0,0.06371323
9,20251210_185619_Cam1_00025,0,0.06362930
10,20251210_185619_Cam1_00010,0,0.06357172
11,20251210_185619_Cam1_00020,0,0.06350978
12,20251210_185619_Cam1_00013,0,0.06287076
13,20251210_185619_Cam1_00044,1,0.06178206
14,20250417_123456_Cam1_00147,1,0.06167872
15,20251210_185619_Cam1_00015,0,0.06020415
16,20251210_185619_Cam1_00038,0,0.05987273
17,20250417_123456_Cam1_00148,1,0.05894857
18,20251210_185619_Cam1_00007,1,0.05842851
19,20251210_185619_Cam1_00045,0,0.05559636
20,20251210_185619_Cam1_00018,0,0.05450280
