rank,frame_id,label,score
0,20251112_191827_Cam1_00095,1,0.06854492
1,20251112_191827_Cam1_00015,1,0.06450340
2,20251112_191827_Cam1_00028,1,0.06302350
3,20251210_185619_Cam1_00048,0,0.04559547
4,20251210_185619_Cam1_00017,1,0.04515039
5,20251210_185619_Cam1_00015,0,0.04264664
6,20251210_185619_Cam1_00020,0,0.04151516
7,20251210_185619_Cam1_00040,1,0.04112789
8,20250417_123456_Cam1_00148,1,0.04061681
9,20250417_123456_Cam1_00162,1,0.03742875
10,20251210_185619_Cam1_00025,0,0.03722246
11,20250417_123456_Cam1_00147,1,0.03657283
12,20251210_185619_Cam1_00044,1,0.03627216
13,20251210_185619_Cam1_00045,0,0.03616135
14,20251210_185619_Cam1_00010,0,0.03539120
15,20251210_185619_Cam1_00036,1,0.03464022
16,20251210_185619_Cam1_00018,0,0.03458757
17,20251210_185619_Cam1_00013,0,0.03275964
18,20251210_185619_Cam1_00021,0,0.03227242
19,20251210_185619_Cam1_00007,1,0.03214628
20,20251210_185619_Cam1_00038,0,0.02879614
