rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01093148,1
1,20251112_191827_Cam4_00095,0.00761656,1
2,20251112_191827_Cam4_00028,0.00715995,1
3,20251112_191827_Cam4_00054,0.00587303,1
4,20250417_123456_Cam4_00140,0.00521797,1
5,20250417_123456_Cam4_00162,0.00488420,1
6,20251112_191827_Cam4_00066,0.00396078,0
7,20250417_123456_Cam4_00079,0.00394605,0
8,20251112_191827_Cam4_00034,0.00382439,0
9,20251112_191827_Cam4_00011,0.00373097,1
10,20251112_191827_Cam4_00063,0.00363135,0
11,20251210_185619_Cam4_00024,0.00347222,1
12,20250417_123456_Cam4_00152,0.00342596,0
13,20251112_191827_Cam4_00088,0.00318629,1
14,20251210_185619_Cam4_00034,0.00286507,0
15,20251210_185619_Cam4_00046,0.00247602,0
16,20251210_185619_Cam4_00022,0.00246056,1
17,20250417_123456_Cam4_00134,0.00244380,0
