epoch,loss,stage1_gain,stage1_bias,stage2_init_gain,stage2_init_bias,stage2_current_gain,stage2_current_bias
1,0.54321244,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16683201,-0.09082668
10,0.47576188,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16505560,-0.08548551
20,0.45067059,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16330452,-0.08006715
30,0.43974987,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16307627,-0.07498818
40,0.42949870,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16262738,-0.07065502
50,0.42123720,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16231284,-0.06582142
60,0.42179508,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16236880,-0.06073034
70,0.41465100,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16261962,-0.05578348
80,0.41416620,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16267674,-0.05092818
90,0.40830763,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16280408,-0.04620944
100,0.40660341,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16266188,-0.04162847
