rank,frame_id,label,score
0,20251112_191827_Cam5_00028,1,0.29235184
1,20251112_191827_Cam5_00095,1,0.25824553
2,20251112_191827_Cam5_00033,0,0.22350173
3,20251112_191827_Cam5_00018,1,0.21335311
4,20251112_191827_Cam5_00015,1,0.19663112
5,20251112_191827_Cam5_00006,0,0.16768494
6,20251112_191827_Cam5_00022,0,0.15262698
7,20251112_191827_Cam5_00012,0,0.13173492
8,20251112_191827_Cam5_00007,1,0.12313323
9,20251112_191827_Cam5_00067,1,0.09291606
10,20251112_191827_Cam5_00046,0,0.09226485
11,20251112_191827_Cam5_00123,1,0.09002443
12,20251112_191827_Cam5_00036,0,0.08196677
13,20251112_191827_Cam5_00040,0,0.07844639
