rank,frame_id,label,score
0,20251112_191827_Cam5_00028,1,0.24679303
1,20251112_191827_Cam5_00095,1,0.21471539
2,20251112_191827_Cam5_00033,0,0.19945984
3,20251112_191827_Cam5_00015,1,0.17310621
4,20251112_191827_Cam5_00018,1,0.15471895
5,20251112_191827_Cam5_00022,0,0.13575280
6,20251112_191827_Cam5_00012,0,0.12128465
7,20251112_191827_Cam5_00006,0,0.11743075
8,20251112_191827_Cam5_00007,1,0.09191310
9,20251112_191827_Cam5_00046,0,0.05914819
10,20251112_191827_Cam5_00036,0,0.05846254
11,20251112_191827_Cam5_00040,0,0.05788217
12,20251112_191827_Cam5_00123,1,0.05676187
13,20251112_191827_Cam5_00067,1,0.05646126
