rank,frame_id,label,score
0,20251112_191827_Cam1_00095,1,0.00750624
1,20251210_185619_Cam1_00048,0,0.00692729
2,20250417_123456_Cam1_00147,1,0.00691939
3,20251112_191827_Cam1_00015,1,0.00673090
4,20250417_123456_Cam1_00148,1,0.00658103
5,20251210_185619_Cam1_00040,1,0.00639193
6,20251210_185619_Cam1_00038,0,0.00632229
7,20251210_185619_Cam1_00017,1,0.00621422
8,20251210_185619_Cam1_00007,1,0.00619456
9,20251210_185619_Cam1_00036,1,0.00610924
10,20250417_123456_Cam1_00162,1,0.00608470
11,20251210_185619_Cam1_00015,0,0.00606511
12,20251210_185619_Cam1_00020,0,0.00605958
13,20251210_185619_Cam1_00025,0,0.00604222
14,20251210_185619_Cam1_00018,0,0.00597042
15,20251210_185619_Cam1_00045,0,0.00595465
16,20251210_185619_Cam1_00021,0,0.00594133
17,20251112_191827_Cam1_00028,1,0.00585988
18,20251210_185619_Cam1_00044,1,0.00567605
19,20251210_185619_Cam1_00013,0,0.00555443
20,20251210_185619_Cam1_00010,0,0.00549945
