rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,1343.79724121
1,20251112_191827_Cam4_00095,1,1324.02160645
2,20251210_185619_Cam4_00022,1,810.49060059
3,20251112_191827_Cam4_00011,1,762.56573486
4,20251112_191827_Cam4_00028,1,745.41040039
5,20251112_191827_Cam4_00066,0,705.25646973
6,20251112_191827_Cam4_00054,1,640.24633789
7,20250417_123456_Cam4_00079,0,628.32696533
8,20251210_185619_Cam4_00046,0,597.28057861
9,20250417_123456_Cam4_00134,0,591.70953369
10,20251210_185619_Cam4_00024,1,578.96655273
11,20250417_123456_Cam4_00152,0,558.91180420
12,20251112_191827_Cam4_00034,0,556.24145508
13,20250417_123456_Cam4_00162,1,507.59213257
14,20250417_123456_Cam4_00140,1,501.97482300
15,20251210_185619_Cam4_00034,0,460.42340088
16,20251112_191827_Cam4_00063,0,378.00573730
17,20251112_191827_Cam4_00088,1,343.67080688
